Name of police service,url,link_selector,date_selector,province
Abbotsford Police Department,https://www.abbypd.ca/blog/news_releases,a.blog-post-title,,British Columbia
Akwesasne Mohawk Police Service,https://akwesasnepolice.ca/news-and-updates/,article h2 a,time,Ontario
Altona Police Service,https://altona.ca/m/altona-police-service/local-notices,ul.notices a,time,Manitoba
Amherst Police Department,https://www.amherst.ca/town-news/media-releases/,HEADING:div.blog-item,,Nova Scotia
Amherstburg Police Service,https://windsorpolice.ca/newsroom/,HEADING:div.search-result,,Ontario
Anishinabek Police Service,https://www.anishinabekpolice.ca/news,li.post-card h2 a,.fusion-tb-published-date,Ontario
Combined Forces Special Enforcement Unit BC,https://cfseu.bc.ca/blog-streampage/,article.category-press-releases h2.post_title a,,British Columbia
Aylmer Police,https://www.aylmerpolice.com/events,,,Ontario
Barrie Police Service,https://www.barriepolice.ca/newsroom/,h3.fl-post-title a,.fl-post-meta,Ontario
Bathurst Police Force,https://www.bathurst.ca/en/services/1/bathurst-police-force,,,New Brunswick
Belleville Police Service,https://www.bellevilleps.ca/news-stories/,article h3 a,time,Ontario
Blood Tribe Police Service,https://www.bloodtribepolice.com/,,,Alberta
Brandon Police Service,https://www.brandon.ca/news/police-media-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Manitoba
Brantford Police Service,https://www.brantfordpolice.ca/news-and-media-releases/categories/media-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Ontario
Bridgewater Police Department,https://www.bridgewaterpolice.ca/news-room,a[href*="/news-room/"],,Nova Scotia
Brockville Police,https://brockvillepolice.com/news/,.entry-title a,time,Ontario
Calgary Police Service,https://newsroom.calgary.ca/police-news-releases/,a.ppUnit,.pp-newsreel-list__date,Alberta
Camrose Police Service,https://www.camrosepolice.ca/police-news/,h3.elementor-post__title a,,Alberta
Lethbridge Police Service,https://www.lethbridgepolice.ca/news/,a.gs-feed-list-title,span.gs-feed-list-date,Alberta
Cape Breton Regional Police,https://www.cbrps.ca/media-releases/,HEADING:div.item-content,,Nova Scotia
Central Saanich Police Service,https://www.cspolice.ca/news,.views-field-title h3 a,time,British Columbia
Chatham-Kent Police Service,https://ckpolice.com/daily-news-release/,h2 a[href*="release"],time,Ontario
Cobourg Police Service,https://cobourgpoliceservice.com/category/news/,.entry-title a,time,Ontario
Cornwall Community Police Service,https://cornwallpolice.ca/news,div.card h4 a,,Ontario
Delta Police Department,https://www.deltapolice.ca/media/releases,a.news-item__link,.news-item__date,British Columbia
Durham Regional Police Service,https://www.drps.ca/news/media-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Ontario
Edmonton Police Service,https://www.edmontonpolice.ca/News/MediaReleases,h2 a[href*="MediaReleases/"],,Alberta
Fredericton Police Force,https://www.fredericton.ca/your-government/news,article h3 a,time,New Brunswick
Greater Sudbury Police Service,https://www.gsps.ca/Modules/News/en,h2 a[href*="news"],.field-content,Ontario
Guelph Police Service,https://www.guelphpolice.ca/news/media-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Ontario
Halifax Regional Police,https://www.halifax.ca/home/news?category=25,a.c-news-updates__list-item-link,.c-news-updates__date,Nova Scotia
Halton Regional Police Service,https://www.haltonpolice.ca/news-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Ontario
Hamilton Police Service,https://hamiltonpolice.on.ca/news/?h=1&t=media,h3.pp_bigheadlines_heading a,.pp_bigheadlines_date,Ontario
Nelson Police Department,https://www.nelson.ca/CivicAlerts.aspx?CID=7,,,British Columbia
Oak Bay Police Department,https://oakbaypolice.org/community-news/,h2.entry-title a,,British Columbia
New Westminster Police Department,https://www.nwpolice.org/news-media/media-releases/,h3 a,time,British Columbia
Port Moody Police Department,https://www.portmoodypolice.com/news-and-statistics/news/,a.gs-feed-list-title,,British Columbia
Saanich Police Department,https://saanichpolice.ca/our-organization/news-releases/,h2.entry-title a,span.published,British Columbia
St'atlimx Tribal Police Service,https://stlatlimxpolice.ca/?page_id=504,,,British Columbia
Nishnawbe-Aski Police Service,https://www.naps.ca/news/,.post-title a,,Ontario
London Police Service,https://www.londonpolice.ca/news/general-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Ontario
Ontario Provincial Police,https://www.opp.ca/news/,,,Ontario
Ottawa Police Service,https://ottawapolice.news.esolg.ca/,a.newsTitle,.blogPostDate,Ontario
Peel Regional Police,https://www.peelpolice.ca/news-feed/news-releases/,a.gs-feed-list-title,.gs-feed-list-author-date,Ontario
RCMP,https://rcmp.ca/en/news,,,National
Vancouver Police Department,https://vpd.ca/news/,,,British Columbia
Metro Vancouver Transit Police,https://transitpolice.ca/news/news-releases/,a.bde-text-link,span.ee-postmeta-date,British Columbia
Victoria Police Department,https://engagement.vicpd.ca/tag/news-releases/,,,British Columbia
West Vancouver Police Department,https://westvanpolice.ca/media-releases/,h1.elementor-heading-title a,time,British Columbia
Winnipeg Police Service,https://www.winnipeg.ca/police/community/news-releases,,,Manitoba
